region,source_type,target_type,gene,n_cells,r,p,q
DG-CA1,excitatory,inhibitory,SNAP25,14,0.37413188046640355,0.18755748746307777,0.4688937186576944
DG-CA1,excitatory,inhibitory,GFAP,14,-0.52419339117347,0.05433243694095574,0.2716621847047787
DG-CA1,excitatory,inhibitory,CX3CR1,14,-0.14470953796030783,0.6216003360435575,0.8855986952890361
DG-CA1,excitatory,inhibitory,PLP1,14,0.07569341530295082,0.7970388257601325,0.8855986952890361
DG-CA1,excitatory,inhibitory,RIMS1,14,-0.2320212330805796,0.4247619067035201,0.7079365111725335
DG-CA1,excitatory,inhibitory,UNC13A,14,-0.25981830923885724,0.3696864174258704,0.7079365111725335
DG-CA1,excitatory,inhibitory,STXBP5,14,-0.01651980909514615,0.9553006941632775,0.9553006941632775
DG-CA1,excitatory,inhibitory,APOE,14,0.5781915522644102,0.030322959321919106,0.2716621847047787
DG-CA1,excitatory,inhibitory,ITGAM,14,-0.4593799193288681,0.09843588272263763,0.3281196090754588
DG-CA1,excitatory,inhibitory,SLC1A3,14,0.08426578459092418,0.7745665790703133,0.8855986952890361
DG-CA1,excitatory,microglia,SNAP25,14,-0.46112914529204807,0.09699566607255138,0.8520991938576833
DG-CA1,excitatory,microglia,GFAP,14,-0.209156918694997,0.4729869406484447,0.8520991938576833
DG-CA1,excitatory,microglia,CX3CR1,14,0.22799059353118578,0.433076451177868,0.8520991938576833
DG-CA1,excitatory,microglia,PLP1,14,0.28387970782130106,0.3253196042534324,0.8520991938576833
DG-CA1,excitatory,microglia,RIMS1,14,0.19179855285016206,0.51125951631461,0.8520991938576833
DG-CA1,excitatory,microglia,UNC13A,14,0.38559964132090196,0.17331472118168265,0.8520991938576833
DG-CA1,excitatory,microglia,STXBP5,14,-0.00027716786702499177,0.9992496980185336,0.9992496980185336
DG-CA1,excitatory,microglia,APOE,14,0.15476080073462478,0.5973085869300161,0.8532979813285945
DG-CA1,excitatory,microglia,ITGAM,14,-0.05203825349251188,0.859764544383588,0.9552939382039867
DG-CA1,excitatory,microglia,SLC1A3,14,-0.09872798459100618,0.737031559173583,0.9212894489669787
DG-CA1,excitatory,oligodendrocyte,SNAP25,14,0.2310712578457376,0.42671421214867705,0.6095917316409672
DG-CA1,excitatory,oligodendrocyte,GFAP,14,-0.3009632064789011,0.29574291163863053,0.5571451033471685
DG-CA1,excitatory,oligodendrocyte,CX3CR1,14,-0.2844054595930634,0.324385333226861,0.5571451033471685
DG-CA1,excitatory,oligodendrocyte,PLP1,14,0.06178752817940186,0.8337986200624738,0.8337986200624738
DG-CA1,excitatory,oligodendrocyte,RIMS1,14,-0.4477662602039549,0.10837482234074093,0.5571451033471685
DG-CA1,excitatory,oligodendrocyte,UNC13A,14,-0.07794641360311738,0.7911177477329401,0.8337986200624738
DG-CA1,excitatory,oligodendrocyte,STXBP5,14,0.40811526499160944,0.1474390600111496,0.5571451033471685
DG-CA1,excitatory,oligodendrocyte,APOE,14,0.34397384195162806,0.22850465813942325,0.5571451033471685
DG-CA1,excitatory,oligodendrocyte,ITGAM,14,-0.27887603875984296,0.33428706200830105,0.5571451033471685
DG-CA1,excitatory,oligodendrocyte,SLC1A3,14,0.09849546083566106,0.7376309930199159,0.8337986200624738
DG-CA1,inhibitory,astrocyte,SNAP25,13,0.0405251439629956,0.8954233372838694,0.9077024641013958
DG-CA1,inhibitory,astrocyte,GFAP,13,0.37233533776054833,0.2102561072309256,0.9077024641013958
DG-CA1,inhibitory,astrocyte,CX3CR1,13,0.2757466729974104,0.3618213778494158,0.9077024641013958
DG-CA1,inhibitory,astrocyte,PLP1,13,-0.03574725545331203,0.9077024641013958,0.9077024641013958
DG-CA1,inhibitory,astrocyte,RIMS1,13,0.04666418186983224,0.8796778513624489,0.9077024641013958
DG-CA1,inhibitory,astrocyte,UNC13A,13,-0.05178665048012439,0.8665705501376973,0.9077024641013958
DG-CA1,inhibitory,astrocyte,STXBP5,13,-0.143646942408666,0.6396553026854198,0.9077024641013958
DG-CA1,inhibitory,astrocyte,APOE,13,0.2897466266779912,0.3369297567505072,0.9077024641013958
DG-CA1,inhibitory,astrocyte,ITGAM,13,-0.18145648699875488,0.5529883437713656,0.9077024641013958
DG-CA1,inhibitory,astrocyte,SLC1A3,13,-0.2702433116864354,0.3718685461880831,0.9077024641013958
DG-CA1,inhibitory,excitatory,SNAP25,13,-0.022319030306581028,0.9423060331520691,0.9490964268887399
DG-CA1,inhibitory,excitatory,GFAP,13,0.35703758348266623,0.23107726778906945,0.7702575592968982
DG-CA1,inhibitory,excitatory,CX3CR1,13,0.11018328560829975,0.7200918399521145,0.9490964268887399
DG-CA1,inhibitory,excitatory,PLP1,13,-0.11748089077936379,0.7022900867313548,0.9490964268887399
DG-CA1,inhibitory,excitatory,RIMS1,13,-0.019688890012194496,0.9490964268887399,0.9490964268887399
DG-CA1,inhibitory,excitatory,UNC13A,13,-0.0476858992436939,0.8770611390229416,0.9490964268887399
DG-CA1,inhibitory,excitatory,STXBP5,13,0.43659696192099123,0.13579886823244694,0.6789943411622347
DG-CA1,inhibitory,excitatory,APOE,13,-0.2624575066786131,0.3863319230152381,0.9490964268887399
DG-CA1,inhibitory,excitatory,ITGAM,13,-0.7653511488451556,0.0022963782067487765,0.022963782067487764
DG-CA1,inhibitory,excitatory,SLC1A3,13,0.0415920419678477,0.8926842563744305,0.9490964268887399
DG-CA1,inhibitory,microglia,SNAP25,13,-0.5484749618249742,0.05227318389689918,0.2613659194844959
DG-CA1,inhibitory,microglia,GFAP,13,0.3102992946047526,0.3021536332597049,0.7553840831492622
DG-CA1,inhibitory,microglia,CX3CR1,13,0.22604406126034227,0.45773205200859407,0.83237275846009
DG-CA1,inhibitory,microglia,PLP1,13,-0.172053802678109,0.5740740415054075,0.83237275846009
DG-CA1,inhibitory,microglia,RIMS1,13,-0.07079770609764,0.8182232140323578,0.8851539960777471
DG-CA1,inhibitory,microglia,UNC13A,13,0.16826519501749898,0.582660930922063,0.83237275846009
DG-CA1,inhibitory,microglia,STXBP5,13,0.6584331151737783,0.014406656930379194,0.14406656930379194
DG-CA1,inhibitory,microglia,APOE,13,0.044527384525379965,0.8851539960777471,0.8851539960777471
DG-CA1,inhibitory,microglia,ITGAM,13,-0.46173341934260403,0.11220444102822179,0.37401480342740595
DG-CA1,inhibitory,microglia,SLC1A3,13,0.12224353622244641,0.6907464385000247,0.8634330481250309
DG-CA1,inhibitory,oligodendrocyte,SNAP25,13,-0.012851502219899025,0.9667626915929363,0.9667626915929363
DG-CA1,inhibitory,oligodendrocyte,GFAP,13,0.4894197035421259,0.08960435239854753,0.24423393872439564
DG-CA1,inhibitory,oligodendrocyte,CX3CR1,13,0.4617458049689886,0.11219354975941345,0.24423393872439564
DG-CA1,inhibitory,oligodendrocyte,PLP1,13,-0.024032208054116953,0.9378849211337983,0.9667626915929363
DG-CA1,inhibitory,oligodendrocyte,RIMS1,13,-0.4479455787344981,0.12477445104486404,0.24423393872439564
DG-CA1,inhibitory,oligodendrocyte,UNC13A,13,-0.42611069446093525,0.14654036323463737,0.24423393872439564
DG-CA1,inhibitory,oligodendrocyte,STXBP5,13,0.35349030800607717,0.23607762200561566,0.3372537457223081
DG-CA1,inhibitory,oligodendrocyte,APOE,13,-0.12190041074889216,0.6915760806537453,0.8644701008171817
DG-CA1,inhibitory,oligodendrocyte,ITGAM,13,-0.7148779220774326,0.006026839421038015,0.060268394210380154
DG-CA1,inhibitory,oligodendrocyte,SLC1A3,13,0.4783403311213096,0.09823407882479249,0.24423393872439564
DG-CA1,microglia,astrocyte,SNAP25,10,-0.5326171234107613,0.11295973294374513,0.37653244314581713
DG-CA1,microglia,astrocyte,GFAP,10,-0.021704322361163694,0.9525441544333894,0.9525441544333894
DG-CA1,microglia,astrocyte,CX3CR1,10,0.12440351576752896,0.7320399350367433,0.9525441544333894
DG-CA1,microglia,astrocyte,PLP1,10,0.08116724923771043,0.8236117689425325,0.9525441544333894
DG-CA1,microglia,astrocyte,RIMS1,10,-0.4763444698810263,0.16398147805917737,0.40995369514794344
DG-CA1,microglia,astrocyte,UNC13A,10,-0.0562923437518945,0.8772499645988723,0.9525441544333894
DG-CA1,microglia,astrocyte,STXBP5,10,0.3005382287075029,0.398804705328307,0.6646745088805116
DG-CA1,microglia,astrocyte,APOE,10,0.5634832129791045,0.08983048788060723,0.37653244314581713
DG-CA1,microglia,astrocyte,ITGAM,10,-0.6529025412201178,0.04068757981539255,0.37653244314581713
DG-CA1,microglia,astrocyte,SLC1A3,10,0.422043837534067,0.22439480462759373,0.44878960925518746
DG-CA1,microglia,excitatory,SNAP25,10,-0.47581549047010296,0.16451667237063936,0.3290333447412787
DG-CA1,microglia,excitatory,GFAP,10,-0.3955152549537711,0.25792387059898964,0.42987311766498276
DG-CA1,microglia,excitatory,CX3CR1,10,0.7484512039123442,0.012763852222858548,0.07256181232307296
DG-CA1,microglia,excitatory,PLP1,10,-0.5798332923967056,0.07891723827651617,0.19729309569129044
DG-CA1,microglia,excitatory,RIMS1,10,-0.2037232899111201,0.5723949486646058,0.6359943874051176
DG-CA1,microglia,excitatory,UNC13A,10,-0.2244784529088443,0.5329583594477689,0.6359943874051176
DG-CA1,microglia,excitatory,STXBP5,10,0.5944431422412381,0.06992451630087444,0.19729309569129044
DG-CA1,microglia,excitatory,APOE,10,0.16485826141663082,0.6490149809845538,0.6490149809845538
DG-CA1,microglia,excitatory,ITGAM,10,-0.7394744003503699,0.01451236246461459,0.07256181232307296
DG-CA1,microglia,excitatory,SLC1A3,10,-0.3339949850355043,0.3455777346351443,0.49368247805020615
DG-CA1,microglia,inhibitory,SNAP25,10,-0.40285809534215494,0.24838150359936728,0.6209537589984182
DG-CA1,microglia,inhibitory,GFAP,10,0.5200704556430322,0.12333109642239921,0.602515507989514
DG-CA1,microglia,inhibitory,CX3CR1,10,0.17831615767363468,0.6221013875314375,0.7249323492459009
DG-CA1,microglia,inhibitory,PLP1,10,0.13352609386530248,0.7130639030021618,0.7249323492459009
DG-CA1,microglia,inhibitory,RIMS1,10,-0.2978083121962028,0.4033121467382092,0.7249323492459009
DG-CA1,microglia,inhibitory,UNC13A,10,-0.1694888734388961,0.6397113137248084,0.7249323492459009
DG-CA1,microglia,inhibitory,STXBP5,10,0.4602306351725967,0.1807546523968542,0.602515507989514
DG-CA1,microglia,inhibitory,APOE,10,0.12781278953643999,0.7249323492459009,0.7249323492459009
DG-CA1,microglia,inhibitory,ITGAM,10,-0.49985271000363185,0.14124924809591538,0.602515507989514
DG-CA1,microglia,inhibitory,SLC1A3,10,-0.2476902677441596,0.4902128620297776,0.7249323492459009
DG-CA1,microglia,oligodendrocyte,SNAP25,10,-0.27948590906287374,0.43418398590462315,0.8683679718092463
DG-CA1,microglia,oligodendrocyte,GFAP,10,-0.08776402671892758,0.8094881299411062,0.9366284060668154
DG-CA1,microglia,oligodendrocyte,CX3CR1,10,0.6065624387886,0.06299397186793669,0.31496985933968347
DG-CA1,microglia,oligodendrocyte,PLP1,10,0.04191726669000831,0.9084669209811136,0.9366284060668154
DG-CA1,microglia,oligodendrocyte,RIMS1,10,-0.6250324635075907,0.053325827630513384,0.31496985933968347
DG-CA1,microglia,oligodendrocyte,UNC13A,10,-0.47569013451203285,0.1646436543899081,0.4116091359747703
DG-CA1,microglia,oligodendrocyte,STXBP5,10,-0.028994233674768936,0.9366284060668154,0.9366284060668154
DG-CA1,microglia,oligodendrocyte,APOE,10,0.11854381095255505,0.7442988444764703,0.9366284060668154
DG-CA1,microglia,oligodendrocyte,ITGAM,10,-0.527144179154283,0.117413922129076,0.39137974043025336
DG-CA1,microglia,oligodendrocyte,SLC1A3,10,-0.045460843379844434,0.9007596734262968,0.9366284060668154
DG-CA1,oligodendrocyte,astrocyte,SNAP25,10,0.29921313424857976,0.40098957591673745,0.9555476967690898
DG-CA1,oligodendrocyte,astrocyte,GFAP,10,0.4189632462852368,0.22815370905212942,0.9555476967690898
DG-CA1,oligodendrocyte,astrocyte,CX3CR1,10,0.23535930020900805,0.5127356626590228,0.9555476967690898
DG-CA1,oligodendrocyte,astrocyte,PLP1,10,-0.0004165355313216386,0.9990888286833237,0.9990888286833237
DG-CA1,oligodendrocyte,astrocyte,RIMS1,10,-0.09001986917070781,0.8046695363227505,0.9555476967690898
DG-CA1,oligodendrocyte,astrocyte,UNC13A,10,0.21837794688429393,0.5444348838821473,0.9555476967690898
DG-CA1,oligodendrocyte,astrocyte,STXBP5,10,-0.3689249033374538,0.2941378896709323,0.9555476967690898
DG-CA1,oligodendrocyte,astrocyte,APOE,10,-0.06426802746113926,0.8599929270921808,0.9555476967690898
DG-CA1,oligodendrocyte,astrocyte,ITGAM,10,-0.10801859017246342,0.7664471293145979,0.9555476967690898
DG-CA1,oligodendrocyte,astrocyte,SLC1A3,10,-0.13184785165995516,0.7165445480551762,0.9555476967690898
DG-CA1,oligodendrocyte,excitatory,SNAP25,10,0.2263619950547215,0.5294348399721253,0.8648099655668535
DG-CA1,oligodendrocyte,excitatory,GFAP,10,0.29341616988440167,0.4106148487103678,0.8648099655668535
DG-CA1,oligodendrocyte,excitatory,CX3CR1,10,0.10934970500370206,0.7636372879323379,0.9545466099154223
DG-CA1,oligodendrocyte,excitatory,PLP1,10,-0.28876584584750487,0.4184144371486332,0.8648099655668535
DG-CA1,oligodendrocyte,excitatory,RIMS1,10,-0.009557887613588927,0.9790940307425786,0.9790940307425786
DG-CA1,oligodendrocyte,excitatory,UNC13A,10,-0.20389065401339518,0.5720725924515919,0.8648099655668535
DG-CA1,oligodendrocyte,excitatory,STXBP5,10,-0.21434950011428489,0.5520665292494601,0.8648099655668535
DG-CA1,oligodendrocyte,excitatory,APOE,10,0.22329021960143683,0.5351860257308974,0.8648099655668535
DG-CA1,oligodendrocyte,excitatory,ITGAM,10,0.18678506733639755,0.6053669758967974,0.8648099655668535
DG-CA1,oligodendrocyte,excitatory,SLC1A3,10,-0.04928582223474402,0.8924487694778365,0.9790940307425786
DG-CA1,oligodendrocyte,inhibitory,SNAP25,10,0.3403523297556074,0.3358953099017151,0.8896424868885751
DG-CA1,oligodendrocyte,inhibitory,GFAP,10,0.4894823975909181,0.15102409240999337,0.8896424868885751
DG-CA1,oligodendrocyte,inhibitory,CX3CR1,10,0.20456270544714272,0.5707788632248334,0.8896424868885751
DG-CA1,oligodendrocyte,inhibitory,PLP1,10,-0.44434341696764795,0.1982456011937694,0.8896424868885751
DG-CA1,oligodendrocyte,inhibitory,RIMS1,10,-0.15286668719806656,0.6733094062372355,0.8896424868885751
DG-CA1,oligodendrocyte,inhibitory,UNC13A,10,0.13417759088230122,0.7117139895108601,0.8896424868885751
DG-CA1,oligodendrocyte,inhibitory,STXBP5,10,0.07722678384518925,0.8320703260761606,0.9245225845290673
DG-CA1,oligodendrocyte,inhibitory,APOE,10,0.20169637516215777,0.576304392409402,0.8896424868885751
DG-CA1,oligodendrocyte,inhibitory,ITGAM,10,0.18455440340677032,0.6097591005488487,0.8896424868885751
DG-CA1,oligodendrocyte,inhibitory,SLC1A3,10,0.016346813324668776,0.9642508996873449,0.9642508996873449
DG-CA1,oligodendrocyte,microglia,SNAP25,10,-0.21321599162084254,0.5542214103520808,0.8502083352415352
DG-CA1,oligodendrocyte,microglia,GFAP,10,-0.10221555169288965,0.7787250129612905,0.8502083352415352
DG-CA1,oligodendrocyte,microglia,CX3CR1,10,0.5956869739284496,0.06919135260176461,0.6919135260176461
DG-CA1,oligodendrocyte,microglia,PLP1,10,-0.17683711784809314,0.6250402656516,0.8502083352415352
DG-CA1,oligodendrocyte,microglia,RIMS1,10,0.18103890022664468,0.6167038252120646,0.8502083352415352
DG-CA1,oligodendrocyte,microglia,UNC13A,10,0.15126143889082552,0.6765828813039956,0.8502083352415352
DG-CA1,oligodendrocyte,microglia,STXBP5,10,-0.06880093970227666,0.8502083352415352,0.8502083352415352
DG-CA1,oligodendrocyte,microglia,APOE,10,-0.12919851467643798,0.7220487832188387,0.8502083352415352
DG-CA1,oligodendrocyte,microglia,ITGAM,10,0.3172863683459948,0.37168866240203263,0.8502083352415352
DG-CA1,oligodendrocyte,microglia,SLC1A3,10,0.24463581996834366,0.49575193188616623,0.8502083352415352
