point_id,cell_id,cell_type
288,1,inhibitory neurons
289,1,inhibitory neurons
290,2,unassigned
291,4,unassigned
292,1,inhibitory neurons
293,10,unassigned
294,2,unassigned
295,2,unassigned
296,1,inhibitory neurons
297,11,unassigned
298,10,unassigned
299,2,unassigned
300,5,inhibitory neurons
301,1,inhibitory neurons
302,2,unassigned
303,2,unassigned
304,5,unassigned
305,2,unassigned
306,2,unassigned
307,10,unassigned
308,2,unassigned
309,2,unassigned
310,2,unassigned
311,2,unassigned
312,1,inhibitory neurons
313,3,inhibitory neurons
314,2,unassigned
315,10,unassigned
316,2,unassigned
317,1,inhibitory neurons
318,2,unassigned
319,12,inhibitory neurons
320,2,unassigned
321,2,unassigned
322,2,unassigned
323,2,unassigned
324,5,inhibitory neurons
325,2,unassigned
326,2,unassigned
327,1,inhibitory neurons
328,2,unassigned
329,7,inhibitory neurons
330,2,unassigned
331,5,unassigned
332,2,unassigned
333,2,unassigned
334,2,unassigned
335,6,astrocytes
336,1,inhibitory neurons
337,5,inhibitory neurons
338,2,unassigned
339,13,inhibitory neurons
340,1,inhibitory neurons
341,2,unassigned
342,2,unassigned
343,2,unassigned
344,1,inhibitory neurons
345,3,inhibitory neurons
346,12,inhibitory neurons
347,2,unassigned
348,2,unassigned
349,2,unassigned
350,2,unassigned
351,2,unassigned
352,10,unassigned
353,1,inhibitory neurons
354,5,inhibitory neurons
355,5,inhibitory neurons
356,1,inhibitory neurons
357,1,inhibitory neurons
358,5,inhibitory neurons
359,2,unassigned
360,9,astrocytes
361,6,astrocytes
362,6,astrocytes
363,3,inhibitory neurons
364,2,unassigned
365,2,unassigned
366,1,inhibitory neurons
367,10,unassigned
368,2,unassigned
369,1,inhibitory neurons
370,9,astrocytes
371,1,inhibitory neurons
372,1,inhibitory neurons
373,3,inhibitory neurons
374,9,astrocytes
375,2,unassigned
376,2,unassigned
377,1,inhibitory neurons
378,7,inhibitory neurons
379,6,astrocytes
380,9,astrocytes
381,9,astrocytes
382,2,unassigned
383,1,inhibitory neurons
384,2,unassigned
385,8,inhibitory neurons
386,1,inhibitory neurons
387,13,inhibitory neurons
388,1,inhibitory neurons
389,1,inhibitory neurons
390,5,inhibitory neurons
391,9,astrocytes
392,1,inhibitory neurons
393,2,unassigned
394,1,inhibitory neurons
395,14,astrocytes
396,2,unassigned
397,5,inhibitory neurons
398,7,inhibitory neurons
399,2,unassigned
400,6,astrocytes
401,6,astrocytes
402,2,unassigned
403,1,inhibitory neurons
404,1,inhibitory neurons
405,2,unassigned
406,2,unassigned
407,1,inhibitory neurons
408,2,unassigned
409,2,unassigned
410,5,inhibitory neurons
411,15,astrocytes
412,2,unassigned
413,1,inhibitory neurons
414,2,unassigned
415,7,inhibitory neurons
416,14,astrocytes
417,9,astrocytes
418,1,inhibitory neurons
419,2,unassigned
420,2,unassigned
421,2,unassigned
422,2,unassigned
423,1,inhibitory neurons
424,3,inhibitory neurons
425,16,inhibitory neurons
426,2,unassigned
427,2,unassigned
428,2,unassigned
429,2,unassigned
430,13,inhibitory neurons
431,1,inhibitory neurons
432,2,unassigned
433,2,unassigned
434,2,unassigned
435,1,inhibitory neurons
436,2,unassigned
437,1,inhibitory neurons
438,1,inhibitory neurons
439,1,inhibitory neurons
440,12,inhibitory neurons
441,14,astrocytes
442,7,inhibitory neurons
443,6,astrocytes
444,9,astrocytes
445,2,unassigned
446,1,inhibitory neurons
447,2,unassigned
448,1,inhibitory neurons
449,1,inhibitory neurons
450,1,inhibitory neurons
451,1,inhibitory neurons
452,6,astrocytes
453,9,astrocytes
454,9,astrocytes
455,9,astrocytes
456,2,unassigned
457,2,unassigned
458,2,unassigned
459,3,inhibitory neurons
460,2,unassigned
461,9,astrocytes
462,9,astrocytes
463,15,astrocytes
464,17,unassigned
465,1,inhibitory neurons
466,1,inhibitory neurons
467,13,inhibitory neurons
468,9,astrocytes
469,9,astrocytes
470,2,unassigned
471,2,unassigned
472,1,inhibitory neurons
473,1,inhibitory neurons
474,7,inhibitory neurons
475,13,inhibitory neurons
476,18,astrocytes
477,1,inhibitory neurons
478,2,unassigned
479,11,unassigned
480,9,astrocytes
481,2,unassigned
482,2,unassigned
483,17,unassigned
484,15,astrocytes
485,2,unassigned
486,2,unassigned
487,1,inhibitory neurons
488,13,inhibitory neurons
489,13,inhibitory neurons
490,1,inhibitory neurons
491,1,inhibitory neurons
492,7,inhibitory neurons
493,3,inhibitory neurons
494,15,astrocytes
495,17,unassigned
496,1,inhibitory neurons
497,1,inhibitory neurons
498,3,inhibitory neurons
499,6,astrocytes
500,1,inhibitory neurons
501,15,astrocytes
502,1,inhibitory neurons
503,19,inhibitory neurons
504,7,inhibitory neurons
505,2,unassigned
506,8,inhibitory neurons
507,8,inhibitory neurons
508,2,unassigned
509,2,unassigned
510,20,inhibitory neurons
511,21,inhibitory neurons
512,2,unassigned
513,9,astrocytes
514,15,astrocytes
515,15,astrocytes
516,1,inhibitory neurons
517,1,inhibitory neurons
518,1,inhibitory neurons
519,1,inhibitory neurons
520,1,inhibitory neurons
521,1,inhibitory neurons
522,9,astrocytes
523,9,astrocytes
524,9,astrocytes
525,1,inhibitory neurons
526,2,unassigned
527,5,inhibitory neurons
528,2,unassigned
529,2,unassigned
530,1,inhibitory neurons
531,1,inhibitory neurons
532,14,astrocytes
533,2,unassigned
534,14,astrocytes
535,11,unassigned
536,1,inhibitory neurons
537,5,inhibitory neurons
538,8,inhibitory neurons
539,2,unassigned
540,2,unassigned
541,1,inhibitory neurons
542,22,excitatory neurons
543,1,inhibitory neurons
544,1,inhibitory neurons
545,13,inhibitory neurons
546,4,unassigned
547,18,astrocytes
548,23,excitatory neurons
549,9,astrocytes
550,15,astrocytes
551,8,inhibitory neurons
552,2,unassigned
553,2,unassigned
554,2,unassigned
555,2,unassigned
556,1,inhibitory neurons
557,1,inhibitory neurons
558,1,inhibitory neurons
559,24,excitatory neurons
560,21,inhibitory neurons
561,9,astrocytes
562,15,astrocytes
563,2,unassigned
564,1,inhibitory neurons
565,4,unassigned
566,14,astrocytes
567,14,astrocytes
568,15,astrocytes
569,15,astrocytes
570,15,astrocytes
571,15,astrocytes
572,15,astrocytes
573,2,unassigned
574,2,unassigned
575,2,unassigned
576,2,unassigned
577,1,inhibitory neurons
578,1,inhibitory neurons
579,3,inhibitory neurons
580,25,unassigned
581,1,inhibitory neurons
582,1,inhibitory neurons
583,9,astrocytes
584,9,astrocytes
585,17,unassigned
586,5,inhibitory neurons
587,15,astrocytes
588,5,inhibitory neurons
589,13,inhibitory neurons
590,1,inhibitory neurons
591,3,inhibitory neurons
592,26,unassigned
593,3,inhibitory neurons
594,5,inhibitory neurons
595,15,astrocytes
596,5,inhibitory neurons
597,1,inhibitory neurons
598,1,inhibitory neurons
599,1,inhibitory neurons
600,1,inhibitory neurons
601,2,unassigned
602,3,inhibitory neurons
603,18,astrocytes
604,9,astrocytes
605,5,inhibitory neurons
606,5,inhibitory neurons
607,5,inhibitory neurons
608,5,inhibitory neurons
609,2,unassigned
610,2,unassigned
611,1,inhibitory neurons
612,1,inhibitory neurons
613,1,inhibitory neurons
614,19,inhibitory neurons
615,13,inhibitory neurons
616,5,inhibitory neurons
617,22,excitatory neurons
618,3,inhibitory neurons
619,9,astrocytes
620,15,astrocytes
621,15,astrocytes
622,5,inhibitory neurons
623,15,astrocytes
624,2,unassigned
625,1,inhibitory neurons
626,1,inhibitory neurons
627,1,inhibitory neurons
628,1,inhibitory neurons
629,13,inhibitory neurons
630,27,excitatory neurons
631,3,inhibitory neurons
632,28,unassigned
633,25,unassigned
634,21,inhibitory neurons
635,9,astrocytes
636,2,unassigned
637,9,astrocytes
638,2,unassigned
639,5,inhibitory neurons
640,5,inhibitory neurons
641,2,unassigned
642,1,inhibitory neurons
643,19,inhibitory neurons
644,13,inhibitory neurons
645,13,inhibitory neurons
646,14,astrocytes
647,2,unassigned
648,9,astrocytes
649,15,astrocytes
650,15,astrocytes
651,15,astrocytes
652,1,inhibitory neurons
653,13,inhibitory neurons
654,1,inhibitory neurons
655,1,inhibitory neurons
656,1,inhibitory neurons
657,4,unassigned
658,14,astrocytes
659,29,excitatory neurons
660,2,unassigned
661,15,astrocytes
662,15,astrocytes
663,2,unassigned
664,1,inhibitory neurons
665,1,inhibitory neurons
666,1,inhibitory neurons
667,18,astrocytes
668,2,unassigned
669,15,astrocytes
670,8,inhibitory neurons
671,15,astrocytes
672,22,excitatory neurons
673,1,inhibitory neurons
674,1,inhibitory neurons
675,4,unassigned
676,21,inhibitory neurons
677,3,inhibitory neurons
678,9,astrocytes
679,15,astrocytes
680,2,unassigned
681,2,unassigned
682,2,unassigned
683,1,inhibitory neurons
684,22,excitatory neurons
685,19,inhibitory neurons
686,19,inhibitory neurons
687,1,inhibitory neurons
688,27,excitatory neurons
689,3,inhibitory neurons
690,3,inhibitory neurons
691,1,inhibitory neurons
692,8,inhibitory neurons
693,8,inhibitory neurons
694,1,inhibitory neurons
695,5,inhibitory neurons
696,8,inhibitory neurons
697,15,astrocytes
698,15,astrocytes
699,15,astrocytes
700,5,inhibitory neurons
701,2,unassigned
702,2,unassigned
703,1,inhibitory neurons
704,1,inhibitory neurons
705,13,inhibitory neurons
706,1,inhibitory neurons
707,19,inhibitory neurons
708,7,inhibitory neurons
709,7,inhibitory neurons
710,3,inhibitory neurons
711,21,inhibitory neurons
712,15,astrocytes
713,15,astrocytes
714,2,unassigned
715,15,astrocytes
716,15,astrocytes
717,2,unassigned
718,2,unassigned
719,13,inhibitory neurons
720,1,inhibitory neurons
721,1,inhibitory neurons
722,7,inhibitory neurons
723,30,activated microglia
724,3,inhibitory neurons
725,9,astrocytes
726,9,astrocytes
727,2,unassigned
728,8,inhibitory neurons
729,15,astrocytes
730,5,inhibitory neurons
731,13,inhibitory neurons
732,1,inhibitory neurons
733,1,inhibitory neurons
734,22,excitatory neurons
735,19,inhibitory neurons
736,24,excitatory neurons
737,9,astrocytes
738,1,inhibitory neurons
739,15,astrocytes
740,2,unassigned
741,15,unassigned
742,8,inhibitory neurons
743,5,inhibitory neurons
744,5,inhibitory neurons
745,31,unassigned
746,1,inhibitory neurons
747,1,inhibitory neurons
748,13,inhibitory neurons
749,22,excitatory neurons
750,1,inhibitory neurons
751,1,inhibitory neurons
752,1,inhibitory neurons
753,12,inhibitory neurons
754,4,unassigned
755,1,inhibitory neurons
756,1,inhibitory neurons
757,14,astrocytes
758,32,inhibitory neurons
759,15,astrocytes
760,8,inhibitory neurons
761,15,astrocytes
762,1,inhibitory neurons
763,1,inhibitory neurons
764,1,inhibitory neurons
765,1,inhibitory neurons
766,1,inhibitory neurons
767,3,inhibitory neurons
768,14,astrocytes
769,21,inhibitory neurons
770,1,inhibitory neurons
771,5,inhibitory neurons
772,8,inhibitory neurons
773,5,inhibitory neurons
774,8,inhibitory neurons
775,2,unassigned
776,2,unassigned
777,2,unassigned
778,1,inhibitory neurons
779,1,inhibitory neurons
780,19,inhibitory neurons
781,1,inhibitory neurons
782,1,inhibitory neurons
783,27,excitatory neurons
784,22,excitatory neurons
785,25,unassigned
786,6,astrocytes
787,9,astrocytes
788,2,unassigned
789,9,astrocytes
790,6,astrocytes
791,9,astrocytes
792,33,unassigned
793,9,astrocytes
794,15,astrocytes
795,15,unassigned
796,5,inhibitory neurons
797,2,unassigned
798,15,astrocytes
799,15,astrocytes
800,2,unassigned
801,1,inhibitory neurons
802,1,inhibitory neurons
803,1,inhibitory neurons
804,24,excitatory neurons
805,9,astrocytes
806,9,astrocytes
807,9,astrocytes
808,5,inhibitory neurons
809,5,inhibitory neurons
810,2,unassigned
811,2,unassigned
812,2,unassigned
813,22,excitatory neurons
814,1,inhibitory neurons
815,34,inhibitory neurons
816,1,inhibitory neurons
817,1,inhibitory neurons
818,3,inhibitory neurons
819,1,inhibitory neurons
820,1,inhibitory neurons
821,22,excitatory neurons
822,1,inhibitory neurons
823,27,excitatory neurons
824,7,inhibitory neurons
825,30,activated microglia
826,24,excitatory neurons
827,1,inhibitory neurons
828,18,astrocytes
829,15,astrocytes
830,35,inhibitory neurons
831,15,astrocytes
832,2,unassigned
833,1,inhibitory neurons
834,22,excitatory neurons
835,1,inhibitory neurons
836,34,inhibitory neurons
837,34,inhibitory neurons
838,22,excitatory neurons
839,2,unassigned
840,9,astrocytes
841,15,astrocytes
842,15,astrocytes
843,8,inhibitory neurons
844,15,unassigned
845,15,astrocytes
846,1,inhibitory neurons
847,1,inhibitory neurons
848,36,unassigned
849,1,inhibitory neurons
850,1,inhibitory neurons
851,12,inhibitory neurons
852,12,inhibitory neurons
853,2,unassigned
854,1,inhibitory neurons
855,1,inhibitory neurons
856,1,inhibitory neurons
857,19,inhibitory neurons
858,7,inhibitory neurons
859,1,inhibitory neurons
860,9,astrocytes
861,8,inhibitory neurons
862,2,unassigned
863,15,astrocytes
864,8,unassigned
865,15,astrocytes
866,15,astrocytes
867,2,unassigned
868,1,inhibitory neurons
869,1,inhibitory neurons
870,1,inhibitory neurons
871,7,inhibitory neurons
872,3,inhibitory neurons
873,1,inhibitory neurons
874,21,inhibitory neurons
875,9,astrocytes
876,8,inhibitory neurons
877,8,inhibitory neurons
878,5,inhibitory neurons
879,2,unassigned
880,15,astrocytes
881,2,unassigned
882,2,unassigned
883,1,inhibitory neurons
884,2,unassigned
885,7,inhibitory neurons
886,16,inhibitory neurons
887,15,astrocytes
888,8,inhibitory neurons
889,5,inhibitory neurons
890,2,unassigned
891,1,inhibitory neurons
892,1,inhibitory neurons
893,34,inhibitory neurons
894,1,inhibitory neurons
895,2,unassigned
896,1,inhibitory neurons
897,4,unassigned
898,22,excitatory neurons
899,3,inhibitory neurons
900,14,astrocytes
901,7,inhibitory neurons
902,9,astrocytes
903,18,astrocytes
904,5,inhibitory neurons
905,15,astrocytes
906,2,unassigned
907,15,astrocytes
908,2,unassigned
909,37,astrocytes
910,1,inhibitory neurons
911,13,inhibitory neurons
912,1,inhibitory neurons
913,1,inhibitory neurons
914,19,inhibitory neurons
915,9,astrocytes
916,9,astrocytes
917,2,unassigned
918,33,unassigned
919,8,inhibitory neurons
920,15,astrocytes
921,15,unassigned
922,8,inhibitory neurons
923,2,unassigned
924,1,inhibitory neurons
925,2,unassigned
926,1,inhibitory neurons
927,2,unassigned
928,22,excitatory neurons
929,1,inhibitory neurons
930,19,inhibitory neurons
931,1,inhibitory neurons
932,12,inhibitory neurons
933,7,inhibitory neurons
934,1,inhibitory neurons
935,14,astrocytes
936,24,excitatory neurons
937,16,inhibitory neurons
938,8,inhibitory neurons
939,15,astrocytes
940,38,unassigned
941,15,astrocytes
942,2,unassigned
943,2,unassigned
944,2,unassigned
945,36,unassigned
946,22,excitatory neurons
947,1,inhibitory neurons
948,3,inhibitory neurons
949,14,astrocytes
950,9,astrocytes
951,15,astrocytes
952,9,astrocytes
953,2,unassigned
954,5,inhibitory neurons
955,2,unassigned
956,5,inhibitory neurons
957,15,astrocytes
958,2,unassigned
959,5,unassigned
960,2,unassigned
961,1,inhibitory neurons
962,1,inhibitory neurons
963,34,inhibitory neurons
964,22,excitatory neurons
965,19,inhibitory neurons
966,4,unassigned
967,1,inhibitory neurons
968,22,excitatory neurons
969,1,inhibitory neurons
970,7,inhibitory neurons
971,6,astrocytes
972,18,astrocytes
973,16,inhibitory neurons
974,8,inhibitory neurons
975,5,inhibitory neurons
976,2,unassigned
977,8,inhibitory neurons
978,2,unassigned
979,8,inhibitory neurons
980,8,inhibitory neurons
981,15,astrocytes
982,15,astrocytes
983,2,unassigned
984,2,unassigned
985,1,inhibitory neurons
986,2,unassigned
987,13,inhibitory neurons
988,1,inhibitory neurons
989,4,unassigned
990,2,unassigned
991,2,unassigned
992,4,unassigned
993,1,inhibitory neurons
994,20,inhibitory neurons
995,9,astrocytes
996,9,astrocytes
997,15,astrocytes
998,16,inhibitory neurons
999,2,unassigned
1000,9,astrocytes
1001,8,inhibitory neurons
1002,8,inhibitory neurons
1003,5,inhibitory neurons
1004,2,unassigned
1005,37,unassigned
1006,34,inhibitory neurons
1007,22,excitatory neurons
1008,1,inhibitory neurons
1009,1,inhibitory neurons
1010,22,excitatory neurons
1011,6,astrocytes
1012,9,astrocytes
1013,16,inhibitory neurons
1014,5,inhibitory neurons
1015,15,astrocytes
1016,5,inhibitory neurons
1017,2,unassigned
1018,37,astrocytes
1019,37,unassigned
1020,22,excitatory neurons
1021,1,inhibitory neurons
1022,12,inhibitory neurons
1023,34,inhibitory neurons
1024,22,excitatory neurons
1025,34,inhibitory neurons
1026,1,inhibitory neurons
1027,1,inhibitory neurons
1028,20,inhibitory neurons
1029,9,astrocytes
1030,9,astrocytes
1031,9,astrocytes
1032,2,unassigned
1033,15,astrocytes
1034,15,astrocytes
1035,38,unassigned
1036,1,inhibitory neurons
1037,22,excitatory neurons
1038,34,inhibitory neurons
1039,12,inhibitory neurons
1040,1,inhibitory neurons
1041,1,inhibitory neurons
1042,14,astrocytes
1043,6,astrocytes
1044,16,inhibitory neurons
1045,5,inhibitory neurons
1046,15,astrocytes
1047,2,unassigned
1048,15,astrocytes
1049,8,inhibitory neurons
1050,2,unassigned
1051,2,unassigned
1052,2,unassigned
1053,37,astrocytes
1054,1,inhibitory neurons
1055,22,excitatory neurons
1056,1,inhibitory neurons
1057,4,unassigned
1058,19,inhibitory neurons
1059,1,inhibitory neurons
1060,1,inhibitory neurons
1061,7,inhibitory neurons
1062,7,inhibitory neurons
1063,28,unassigned
1064,6,astrocytes
1065,6,astrocytes
1066,3,inhibitory neurons
1067,21,inhibitory neurons
1068,9,astrocytes
1069,1,inhibitory neurons
1070,8,inhibitory neurons
1071,5,inhibitory neurons
1072,2,unassigned
1073,5,inhibitory neurons
1074,5,inhibitory neurons
1075,12,inhibitory neurons
1076,22,excitatory neurons
1077,1,inhibitory neurons
1078,3,inhibitory neurons
1079,1,inhibitory neurons
1080,7,inhibitory neurons
1081,9,astrocytes
1082,9,astrocytes
1083,5,inhibitory neurons
1084,9,astrocytes
1085,8,inhibitory neurons
1086,15,astrocytes
1087,15,unassigned
1088,38,unassigned
1089,5,inhibitory neurons
1090,2,unassigned
1091,2,unassigned
1092,2,unassigned
1093,2,unassigned
1094,34,inhibitory neurons
1095,34,inhibitory neurons
1096,1,inhibitory neurons
1097,2,unassigned
1098,36,unassigned
1099,1,inhibitory neurons
1100,1,inhibitory neurons
1101,34,inhibitory neurons
1102,1,inhibitory neurons
1103,3,unassigned
1104,12,inhibitory neurons
1105,3,inhibitory neurons
1106,1,inhibitory neurons
1107,6,astrocytes
1108,6,astrocytes
1109,29,excitatory neurons
1110,5,inhibitory neurons
1111,2,unassigned
1112,2,unassigned
1113,2,unassigned
1114,2,unassigned
1115,1,inhibitory neurons
1116,36,unassigned
1117,13,inhibitory neurons
1118,1,inhibitory neurons
1119,1,inhibitory neurons
1120,4,unassigned
1121,7,inhibitory neurons
1122,6,astrocytes
1123,6,astrocytes
1124,6,astrocytes
1125,9,astrocytes
1126,9,astrocytes
1127,1,inhibitory neurons
1128,1,inhibitory neurons
1129,9,astrocytes
1130,15,astrocytes
1131,15,astrocytes
1132,8,inhibitory neurons
1133,15,unassigned
1134,5,inhibitory neurons
1135,38,unassigned
1136,2,unassigned
1137,2,unassigned
1138,2,unassigned
1139,37,astrocytes
1140,2,unassigned
1141,1,inhibitory neurons
1142,34,inhibitory neurons
1143,2,unassigned
1144,28,unassigned
1145,6,astrocytes
1146,6,astrocytes
1147,9,astrocytes
1148,9,astrocytes
1149,15,astrocytes
1150,5,inhibitory neurons
1151,15,astrocytes
1152,8,inhibitory neurons
1153,8,inhibitory neurons
1154,15,astrocytes
1155,2,unassigned
1156,37,unassigned
1157,39,unassigned
1158,13,inhibitory neurons
1159,22,excitatory neurons
1160,13,inhibitory neurons
1161,12,inhibitory neurons
1162,27,excitatory neurons
1163,30,activated microglia
1164,18,astrocytes
1165,1,inhibitory neurons
1166,9,astrocytes
1167,9,astrocytes
1168,9,astrocytes
1169,16,inhibitory neurons
1170,15,astrocytes
1171,16,inhibitory neurons
1172,5,inhibitory neurons
1173,2,unassigned
1174,5,inhibitory neurons
1175,5,inhibitory neurons
1176,2,unassigned
1177,37,astrocytes
1178,22,excitatory neurons
1179,12,inhibitory neurons
1180,1,inhibitory neurons
1181,22,excitatory neurons
1182,1,inhibitory neurons
1183,1,inhibitory neurons
1184,40,unassigned
1185,20,inhibitory neurons
1186,3,inhibitory neurons
1187,6,astrocytes
1188,9,astrocytes
1189,5,inhibitory neurons
1190,35,inhibitory neurons
1191,33,unassigned
1192,15,astrocytes
1193,8,inhibitory neurons
1194,15,unassigned
1195,5,inhibitory neurons
1196,2,unassigned
1197,37,astrocytes
1198,1,inhibitory neurons
1199,19,inhibitory neurons
1200,1,inhibitory neurons
1201,13,inhibitory neurons
1202,22,excitatory neurons
1203,19,inhibitory neurons
1204,1,inhibitory neurons
1205,1,inhibitory neurons
1206,19,inhibitory neurons
1207,1,inhibitory neurons
1208,1,inhibitory neurons
1209,1,inhibitory neurons
1210,3,inhibitory neurons
1211,41,unassigned
1212,1,inhibitory neurons
1213,6,astrocytes
1214,9,astrocytes
1215,16,inhibitory neurons
1216,33,unassigned
1217,16,inhibitory neurons
1218,2,unassigned
1219,15,astrocytes
1220,2,unassigned
1221,2,unassigned
1222,36,unassigned
1223,22,excitatory neurons
1224,1,inhibitory neurons
1225,1,inhibitory neurons
1226,1,inhibitory neurons
